user,dream_job,matched_skills,missing_skills,timestamp
preeti123@gmail.com,frontend developer,0,0,2025-07-26 21:42:14.378
preeti123@gmail.com,Data Analyst,2,3,2025-07-26 21:42:38.403
preeti123@gmail.com,Web Developer,2,3,2025-07-30 11:35:18.973
preeti123@gmail.com,Data Analyst,2,3,2025-07-30 12:14:37.418
preeti123@gmail.com,Data Scientist,0,0,2025-07-30 12:36:13.322
preeti123@gmail.com,Data Scientist,0,0,2025-07-30 12:40:05.713
preeti123@gmail.com,Data Analyst,2,3,2025-07-30 12:42:29.206
preeti123@gmail.com,Data Analyst,2,3,2025-07-30 12:49:21.891
preeti123@gmail.com,Database Admin,1,4,2025-07-30 12:50:11.789
preeti123@gmail.com,frontend developer,0,0,2025-07-30 13:17:49.172
preeti123@gmail.com,frontend developer,0,0,2025-07-30 13:23:15.457
preeti123@gmail.com,frontend developer,0,0,2025-07-30 13:23:28.040
preeti123@gmail.com,frontend developer,0,0,2025-07-30 13:29:18.892
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:29:38.341
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:30:30.589
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:52:21.660
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:53:09.433
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:59:13.314
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:59:19.410
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:59:28.540
preeti123@gmail.com,Database Admin,0,5,2025-07-30 13:59:37.431
preeti123@gmail.com,Database Admin,0,5,2025-07-30 14:28:47.946
preeti123@gmail.com,Database Admin,0,5,2025-07-30 14:29:04.968
user123@gmail.com,Database Admin,0,5,2025-07-30 14:29:41.673
user123@gmail.com,Data Analyst,0,18,2025-07-30 15:09:54.041
user123@gmail.com,Data Analyst,0,18,2025-07-30 15:10:05.987
user123@gmail.com,Data Analyst,0,18,2025-07-30 15:28:09.221
user123@gmail.com,Data Analyst,0,18,2025-07-30 15:35:33.741
user123@gmail.com,Data Analyst,0,18,2025-07-30 15:38:29.514
user123@gmail.com,Database Admin,0,18,2025-07-30 15:38:46.446
user123@gmail.com,Data Analyst,0,18,2025-07-30 15:47:16.067
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:24:19.344
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:39:32.630
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:43:52.127
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:44:04.467
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:44:49.689
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:45:04.390
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:47:29.514
user123@gmail.com,Data Analyst,0,18,2025-07-30 16:47:54.108
user123@gmail.com,Database Admin,0,18,2025-07-30 16:49:22.385
user123@gmail.com,Web Developer,0,19,2025-07-30 16:55:10.602
user123@gmail.com,Web Developer,0,19,2025-07-30 16:55:28.596
user123@gmail.com,Web Developer,0,19,2025-07-30 17:04:22.416
user123@gmail.com,Web Developer,0,19,2025-07-30 17:08:04.758
user123@gmail.com,Web Developer,0,19,2025-07-30 17:08:51.245
user123@gmail.com,Database Admin,0,18,2025-07-30 17:12:32.418
user123@gmail.com,Data Analyst,0,18,2025-07-30 17:19:15.043
user123@gmail.com,Data Analyst,0,18,2025-07-30 17:27:38.456
user123@gmail.com,Data Analyst,0,18,2025-07-30 17:29:28.163
user123@gmail.com,Data Analyst,0,18,2025-08-01 14:37:04.762
